date,destination_region,oil_eur_per_day,gas_eur_per_day,coal_eur_per_day,total_eur_per_day
2022-03-01,China,137950682.2452116,18326837.46116118,11410219.51677419,167687739.22314698
2022-03-01,EU,338778974.5807105,356398717.3989546,27039213.824747402,722216905.8044125
2022-03-01,India,15566763.654448517,0.0,5022870.764096774,20589634.41854529
2022-03-01,Others,49590155.50363807,31075786.36962023,24123739.81483871,104789681.688097
2022-03-01,South Korea,36219744.835469425,7260225.997215096,8438076.833870968,51918047.66655549
2022-03-01,Total,656071724.2388959,470733174.4304048,79615054.94939254,1206419953.618693
2022-03-01,Türkiye,25347433.989919875,55473168.38861872,2880314.484612903,83700916.8631515
2022-03-01,United Kingdom,13713004.097899644,2198438.8148350115,700619.7104516131,16612062.623186268
2022-03-01,United States,38904965.33159833,0.0,0.0,38904965.33159833
2022-04-01,China,131616210.07115148,21680025.323714368,25176301.71366667,178472537.10853252
2022-04-01,EU,332588685.9985216,310108741.23269427,32023910.4441449,674721337.6753608
2022-04-01,India,38129460.52841453,1755471.4953599998,4162137.5414,44047069.565174535
2022-04-01,Others,61115629.91189464,23493177.32954997,25224049.477166668,109832856.71861127
2022-04-01,South Korea,25809150.203778733,6206482.523236933,9840850.664600002,41856483.39161567
2022-04-01,Total,662518644.1431456,400591461.0779352,103041255.20937823,1166151360.430459
2022-04-01,Türkiye,42767749.11543237,37347563.17337967,5468752.998033334,85584065.28684537
2022-04-01,United Kingdom,9829103.128467968,0.0,567096.5881333334,10396199.716601301
2022-04-01,United States,20662655.185484268,0.0,578155.7822333333,21240810.967717603
2022-05-01,China,171372328.46686026,20001703.046008963,25476687.64090322,216850719.15377244
2022-05-01,EU,307585896.8296344,272592462.41296655,29213372.583985575,609391731.8265866
2022-05-01,India,63123555.42789016,0.0,5541505.799516129,68665061.2274063
2022-05-01,Others,59240738.95521571,23402809.858545188,19155266.028612904,101798814.8423738
2022-05-01,South Korea,5165159.087190032,3773349.0212944844,12192022.73025806,21130530.838742577
2022-05-01,Total,646539608.6622447,345669715.741124,101393063.3581146,1093602387.7614832
2022-05-01,Türkiye,33938707.55347684,25899391.402308796,7701067.320709677,67539166.27649531
2022-05-01,United Kingdom,6113222.341977193,0.0,2038619.3504193549,8151841.692396548
2022-05-01,United States,0.0,0.0,74521.90370967743,74521.90370967743
2022-06-01,China,149109006.07514128,18060011.534333955,33260799.3758,200429816.98527524
2022-06-01,EU,354319185.6276616,178281973.69988185,14834713.077718442,547435872.4052619
2022-06-01,India,81513153.67722599,0.0,8629540.4012,90142694.07842599
2022-06-01,Others,60032107.64920212,20770822.316493616,18615117.506433334,99418047.47212908
2022-06-01,South Korea,6445945.155538933,0.0,12521345.056433333,18967290.211972266
2022-06-01,Total,695609663.1354345,250577283.05539638,101455850.7940851,1047642796.984916
