date,port,area,value_tonne,value_m3,trade_count,value_eur
2022-02-24,Makhachkala Port,Caspian Sea,2339.232,2832.0,1,1424905.745088
2022-02-24,Nakhodka,Pacific,97426.15,114619.0,1,64090915.94215
2022-02-24,Novoportovskoye,Arctic,16149.15,18999.0,1,9263120.1417
2022-02-24,Novorossiysk,Black sea,229775.897,263807.0,2,131798994.967406
2022-02-24,Primorsk,Baltic,300498.484,345004.0,3,172365329.425432
2022-02-24,Varandey,Arctic,17285.576,20408.0,1,9914971.822448
2022-02-25,De Kastri,Pacific,93905.695,111131.0,2,59784309.47619
2022-02-25,Kaliningrad,Baltic,18191.68,21865.0,1,9920032.25408
2022-02-25,Murmansk,Arctic,241151.377,284290.0,2,131501292.786362
2022-02-25,Nakhodka,Pacific,101533.35,119451.0,1,64640395.0107
2022-02-25,Novoportovskoye,Arctic,39110.2,46012.0,1,21327026.7212
2022-02-25,Novorossiysk,Black sea,86115.77,98870.0,1,46959446.07562
2022-02-25,Primorsk,Baltic,9092.369,10439.0,1,4958123.369914
2022-02-25,Ust Luga,Baltic,101090.002,116062.0,1,55124984.630612
2022-02-25,Yuri Korchagin,Caspian Sea,12671.308,14548.0,1,6909740.280248
2022-02-26,Nakhodka,Pacific,103524.05,121793.0,1,65907758.2401
2022-02-26,Novoportovskoye,Arctic,64597.45,75997.0,1,35534023.6858
2022-02-26,Novorossiysk,Black sea,82655.32,98870.0,1,45467369.04688
2022-02-26,Primorsk,Baltic,82649.19,94890.0,1,45463997.03196
2022-02-26,Prirazlomnoye Field,Arctic,2740.92,3012.0,1,1507736.23728
2022-02-27,Nakhodka,Pacific,94701.9,111414.0,1,60291207.0198
2022-02-27,Novorossiysk,Black sea,86115.77,98870.0,1,46480900.74173
2022-02-27,Primorsk,Baltic,198799.653,228243.0,2,107301913.907097
2022-02-27,Prirazlomnoye Field,Arctic,66050.53,72583.0,1,35650707.51697
2022-02-27,Ust Luga,Baltic,101090.002,116062.0,1,54563227.489498
2022-02-27,Yuri Korchagin,Caspian Sea,12005.864,13784.0,1,6480153.088136
2022-02-28,Nakhodka,Pacific,104552.55,123003.0,1,66555330.41115
2022-02-28,Novoportovskoye,Arctic,39513.1,46486.0,1,22842720.6755
2022-02-28,Novorossiysk,Black sea,82655.32,98870.0,1,47783453.7686
2022-02-28,Primorsk,Baltic,110977.594,127414.0,2,64156701.97937
2022-02-28,Ust Luga,Baltic,101090.002,116062.0,1,58440635.60621
2022-02-28,Varandey,Arctic,69143.151,81633.0,1,39972001.308855
2022-03-01,De Kastri,Pacific,93905.695,111131.0,1,59238341.76546
2022-03-01,Murmansk,Arctic,103531.7,121802.0,1,63741154.6756
2022-03-01,Nakhodka,Pacific,99615.75,117195.0,1,62840404.341
2022-03-01,Novorossiysk,Black sea,76790.56,95392.0,1,47277490.49408
2022-03-01,Prigorodnoye,Pacific,89017.389,111411.0,1,56154661.468092
2022-03-01,Primorsk,Baltic,100002.123,114813.0,1,61568107.063164
2022-03-01,Ust Luga,Baltic,96215.015,110465.0,1,59236505.85502
2022-03-01,Yuri Korchagin,Caspian Sea,12005.864,13784.0,2,7391626.277152
2022-03-02,Nakhodka,Pacific,103731.45,122037.0,1,68588998.17465
2022-03-02,Novorossiysk,Black sea,143778.583,165073.0,1,96171912.604287
2022-03-02,Primorsk,Baltic,101090.002,116062.0,1,67617990.347778
2022-03-02,Prirazlomnoye Field,Arctic,2952.04,3244.0,1,1974587.08356
2022-03-02,Ust Luga,Baltic,101090.002,116062.0,1,67617990.347778
2022-03-03,De Kastri,Pacific,93905.695,111131.0,1,62979075.125785
2022-03-03,Nakhodka,Pacific,101361.65,119249.0,1,67979508.27395
2022-03-03,Novoportovskoye,Arctic,64597.45,75997.0,1,42022514.55105
2022-03-03,Novorossiysk,Black sea,86115.77,98870.0,1,56020805.74233
2022-03-03,Primorsk,Baltic,99180.77,113870.0,1,64519967.12733
2022-03-03,Ust Luga,Baltic,101090.002,116062.0,1,65761977.911058
2022-03-03,Varandey,Arctic,69143.151,81633.0,1,44979624.876879
2022-03-03,Yuri Korchagin,Caspian Sea,13267.943,15233.0,1,8631181.691847
