date,personnel,cruise_missiles,drones,tanks,apc,artillery,aircraft,helicopters,daily_personnel,daily_cruise_missiles,daily_drones,daily_tanks,daily_apc,daily_artillery,daily_aircraft,daily_helicopters
2022-02-25,2800,,0,80,516,49,10,7,,,,,,,,
2022-02-26,4300,,2,146,706,49,27,26,1500.0,,2.0,66.0,190.0,0.0,17.0,19.0
2022-02-27,4500,,2,150,706,50,27,26,200.0,,0.0,4.0,0.0,1.0,0.0,0.0
2022-02-28,5300,,3,150,816,74,29,29,800.0,,1.0,0.0,110.0,24.0,2.0,3.0
2022-03-01,5710,,3,198,846,77,29,29,410.0,,0.0,48.0,30.0,3.0,0.0,0.0
2022-03-02,5840,,3,211,862,85,30,31,130.0,,0.0,13.0,16.0,8.0,1.0,2.0
2022-03-03,9000,,3,217,900,90,30,31,3160.0,,0.0,6.0,38.0,5.0,0.0,0.0
2022-03-04,9166,,3,251,939,105,33,37,166.0,,0.0,34.0,39.0,15.0,3.0,6.0
2022-03-05,10000,,3,269,945,105,39,40,834.0,,0.0,18.0,6.0,0.0,6.0,3.0
2022-03-06,11000,,4,285,985,109,44,48,1000.0,,1.0,16.0,40.0,4.0,5.0,8.0
2022-03-07,11000,,7,290,999,117,46,68,0.0,,3.0,5.0,14.0,8.0,2.0,20.0
2022-03-08,12000,,7,303,1036,120,48,80,1000.0,,0.0,13.0,37.0,3.0,2.0,12.0
2022-03-09,12000,,7,317,1070,120,49,81,0.0,,0.0,14.0,34.0,0.0,1.0,1.0
2022-03-10,12000,,7,335,1105,123,49,81,0.0,,0.0,18.0,35.0,3.0,0.0,0.0
2022-03-11,12000,,7,353,1165,125,57,83,0.0,,0.0,18.0,60.0,2.0,8.0,2.0
2022-03-12,12000,,7,362,1205,135,58,83,0.0,,0.0,9.0,40.0,10.0,1.0,0.0
2022-03-13,12000,,7,374,1226,140,74,86,0.0,,0.0,12.0,21.0,5.0,16.0,3.0
2022-03-14,12000,,8,389,1249,150,77,90,0.0,,1.0,15.0,23.0,10.0,3.0,4.0
2022-03-15,13500,,9,404,1279,150,81,95,1500.0,,1.0,15.0,30.0,0.0,4.0,5.0
2022-03-16,13800,,11,430,1375,190,84,108,300.0,,2.0,26.0,96.0,40.0,3.0,13.0
2022-03-17,14000,,11,444,1435,201,86,108,200.0,,0.0,14.0,60.0,11.0,2.0,0.0
2022-03-18,14200,,12,450,1448,205,93,112,200.0,,1.0,6.0,13.0,4.0,7.0,4.0
2022-03-19,14400,,17,466,1470,213,95,115,200.0,,5.0,16.0,22.0,8.0,2.0,3.0
2022-03-20,14700,,21,476,1487,230,96,118,300.0,,4.0,10.0,17.0,17.0,1.0,3.0
2022-03-21,15000,,24,498,1535,240,97,121,300.0,,3.0,22.0,48.0,10.0,1.0,3.0
2022-03-22,15300,,35,509,1556,252,99,123,300.0,,11.0,11.0,21.0,12.0,2.0,2.0
2022-03-23,15600,,42,517,1578,267,101,124,300.0,,7.0,8.0,22.0,15.0,2.0,1.0
2022-03-24,15800,,50,530,1597,280,108,124,200.0,,8.0,13.0,19.0,13.0,7.0,0.0
2022-03-25,16100,,53,561,1625,291,115,125,300.0,,3.0,31.0,28.0,11.0,7.0,1.0
2022-03-26,16400,,56,575,1640,293,117,127,300.0,,3.0,14.0,15.0,2.0,2.0,2.0
2022-03-27,16600,,56,582,1664,294,121,127,200.0,,0.0,7.0,24.0,1.0,4.0,0.0
2022-03-28,17000,,66,586,1694,302,123,127,400.0,,10.0,4.0,30.0,8.0,2.0,0.0
2022-03-29,17200,,71,597,1710,303,127,129,200.0,,5.0,11.0,16.0,1.0,4.0,2.0
2022-03-30,17300,,81,605,1723,305,131,131,100.0,,10.0,8.0,13.0,2.0,4.0,2.0
2022-03-31,17500,,83,614,1735,311,135,131,200.0,,2.0,9.0,12.0,6.0,4.0,0.0
2022-04-01,17700,,85,625,1751,316,143,131,200.0,,2.0,11.0,16.0,5.0,8.0,0.0
2022-04-02,17800,,87,631,1776,317,143,134,100.0,,2.0,6.0,25.0,1.0,0.0,3.0
2022-04-03,18000,,89,644,1830,325,143,134,200.0,,2.0,13.0,54.0,8.0,0.0,0.0
2022-04-04,18300,,91,647,1844,330,147,134,300.0,,2.0,3.0,14.0,5.0,4.0,0.0
2022-04-05,18500,,94,676,1858,332,150,134,200.0,,3.0,29.0,14.0,2.0,3.0,0.0
2022-04-06,18600,,96,684,1861,332,150,135,100.0,,2.0,8.0,3.0,0.0,0.0,1.0
2022-04-07,18900,,111,698,1891,332,150,135,300.0,,15.0,14.0,30.0,0.0,0.0,0.0
2022-04-08,19000,,112,700,1891,333,150,135,100.0,,1.0,2.0,0.0,1.0,0.0,0.0
2022-04-09,19100,,112,705,1895,335,151,136,100.0,,0.0,5.0,4.0,2.0,1.0,1.0
2022-04-10,19300,,112,722,1911,342,152,137,200.0,,0.0,17.0,16.0,7.0,1.0,1.0
2022-04-11,19500,,119,725,1923,347,154,137,200.0,,7.0,3.0,12.0,5.0,2.0,0.0
2022-04-12,19600,,124,732,1946,349,157,140,100.0,,5.0,7.0,23.0,2.0,3.0,3.0
2022-04-13,19800,,132,739,1964,358,158,143,200.0,,8.0,7.0,18.0,9.0,1.0,3.0
2022-04-14,19900,,134,753,1968,366,160,144,100.0,,2.0,14.0,4.0,8.0,2.0,1.0
2022-04-15,20000,,135,756,1976,366,163,144,100.0,,1.0,3.0,8.0,0.0,3.0,0.0
2022-04-16,20100,,138,762,1982,371,163,145,100.0,,3.0,6.0,6.0,5.0,0.0,1.0
2022-04-17,20300,,148,773,2002,376,165,146,200.0,,10.0,11.0,20.0,5.0,2.0,1.0
2022-04-18,20600,,155,790,2041,381,167,147,300.0,,7.0,17.0,39.0,5.0,2.0,1.0
2022-04-19,20800,,158,802,2063,386,169,150,200.0,,3.0,12.0,22.0,5.0,2.0,3.0
2022-04-20,20900,,165,815,2087,391,171,150,100.0,,7.0,13.0,24.0,5.0,2.0,0.0
2022-04-21,21000,,166,829,2118,393,172,151,100.0,,1.0,14.0,31.0,2.0,1.0,1.0
2022-04-22,21200,,172,838,2162,397,176,153,200.0,,6.0,9.0,44.0,4.0,4.0,2.0
2022-04-23,21600,,182,854,2205,403,177,154,400.0,,10.0,16.0,43.0,6.0,1.0,1.0
2022-04-24,21800,,191,873,2238,408,179,154,200.0,,9.0,19.0,33.0,5.0,2.0,0.0
2022-04-25,21900,,201,884,2258,411,181,154,100.0,,10.0,11.0,20.0,3.0,2.0,0.0
2022-04-26,22100,,205,918,2308,416,184,154,200.0,,4.0,34.0,50.0,5.0,3.0,0.0
2022-04-27,22400,,207,939,2342,421,185,155,300.0,,2.0,21.0,34.0,5.0,1.0,1.0
2022-04-28,22800,,215,970,2389,431,187,155,400.0,,8.0,31.0,47.0,10.0,2.0,0.0
2022-04-29,23000,,229,986,2418,435,189,155,200.0,,14.0,16.0,29.0,4.0,2.0,0.0
2022-04-30,23200,,232,1008,2445,436,190,155,200.0,,3.0,22.0,27.0,1.0,1.0,0.0
2022-05-01,23500,84.0,245,1026,2471,451,192,155,300.0,,13.0,18.0,26.0,15.0,2.0,0.0
2022-05-02,23800,84.0,271,1048,2519,459,194,155,300.0,0.0,26.0,22.0,48.0,8.0,2.0,0.0
2022-05-03,24200,84.0,291,1062,2567,475,194,155,400.0,0.0,20.0,14.0,48.0,16.0,0.0,0.0
2022-05-04,24500,87.0,303,1077,2610,491,194,155,300.0,3.0,12.0,15.0,43.0,16.0,0.0,0.0
2022-05-05,24700,89.0,312,1092,2651,499,196,155,200.0,2.0,9.0,15.0,41.0,8.0,2.0,0.0
2022-05-06,24900,90.0,324,1110,2686,502,199,155,200.0,1.0,12.0,18.0,35.0,3.0,3.0,0.0
2022-05-07,25100,90.0,341,1122,2713,509,199,155,200.0,0.0,17.0,12.0,27.0,7.0,0.0,0.0
2022-05-08,25500,92.0,360,1130,2741,509,199,156,400.0,2.0,19.0,8.0,28.0,0.0,0.0,1.0
2022-05-09,25650,94.0,377,1145,2764,513,199,158,150.0,2.0,17.0,15.0,23.0,4.0,0.0,2.0
2022-05-10,26000,94.0,380,1170,2808,519,199,158,350.0,0.0,3.0,25.0,44.0,6.0,0.0,0.0
2022-05-11,26350,94.0,390,1187,2856,528,199,160,350.0,0.0,10.0,17.0,48.0,9.0,0.0,2.0
2022-05-12,26650,94.0,398,1195,2873,534,199,161,300.0,0.0,8.0,8.0,17.0,6.0,0.0,1.0
2022-05-13,26900,95.0,405,1205,2900,542,200,162,250.0,1.0,7.0,10.0,27.0,8.0,1.0,1.0
